Round,Male ID,Collection Site,Adult Tank Replicate,Pat Temp Treatment,Fert Temp Treatment,Temp Treatment,Sperm Concentration,Concentration Group,Vial Replicate,Unfertilized,Normal Fert,Abnormal
1,H1,MKO,1,H,L,HL,1.73E+05,HIGH,3,1,40,59
1,H1,MKO,1,H,H,HH,2.75E+05,HIGH,3,4,45,51
1,H1,MKO,1,H,L,HL,1.73E+05,HIGH,1,3,16,56
1,H1,MKO,1,H,L,HL,1.73E+05,HIGH,2,5,30,47
1,H1,MKO,1,H,H,HH,2.75E+05,HIGH,2,11,38,52
1,H1,MKO,1,H,H,HH,2.75E+05,HIGH,1,15,48,37
1,H1,MKO,1,H,L,HL,1.73E+04,MID,1,37,54,12
1,H1,MKO,1,H,L,HL,1.73E+04,MID,2,46,41,9
1,H1,MKO,1,H,L,HL,1.73E+04,MID,3,61,28,11
1,H1,MKO,1,H,H,HH,2.75E+04,MID,2,68,24,8
1,H1,MKO,1,H,H,HH,2.75E+04,MID,1,70,26,4
1,H1,MKO,1,H,H,HH,2.75E+04,MID,3,78,15,7
1,H1,MKO,1,H,L,HL,1.73E+03,LOW,1,94,4,2
1,H1,MKO,1,H,H,HH,2.75E+03,LOW,1,94,2,2
1,H1,MKO,1,H,H,HH,2.75E+03,LOW,2,96,4,0
1,H1,MKO,1,H,H,HH,2.75E+03,LOW,3,96,4,0
1,H1,MKO,1,H,L,HL,1.73E+03,LOW,3,72,3,0
1,H1,MKO,1,H,L,HL,1.73E+03,LOW,2,74,1,0
1,H2,MKO,2,H,H,HH,1.61E+05,HIGH,3,0,23,54
1,H2,MKO,2,H,L,HL,1.25E+05,HIGH,3,0,12,69
1,H2,MKO,2,H,H,HH,1.61E+05,HIGH,2,1,23,55
1,H2,MKO,2,H,L,HL,1.25E+05,HIGH,1,1,17,57
1,H2,MKO,2,H,L,HL,1.25E+05,HIGH,2,2,18,63
1,H2,MKO,2,H,H,HH,1.61E+05,HIGH,1,2,30,48
1,H2,MKO,2,H,L,HL,1.25E+04,MID,2,50,40,11
1,H2,MKO,2,H,L,HL,1.25E+04,MID,1,45,31,11
1,H2,MKO,2,H,L,HL,1.25E+04,MID,3,40,13,22
1,H2,MKO,2,H,H,HH,1.61E+04,MID,1,45,20,10
1,H2,MKO,2,H,H,HH,1.61E+04,MID,3,50,14,14
1,H2,MKO,2,H,H,HH,1.61E+04,MID,2,52,20,4
1,H2,MKO,2,H,L,HL,1.25E+03,LOW,2,70,21,1
1,H2,MKO,2,H,H,HH,1.61E+03,LOW,3,71,7,2
1,H2,MKO,2,H,L,HL,1.25E+03,LOW,3,69,5,1
1,H2,MKO,2,H,L,HL,1.25E+03,LOW,1,78,4,0
1,H2,MKO,2,H,H,HH,1.61E+03,LOW,1,76,3,0
1,H2,MKO,2,H,H,HH,1.61E+03,LOW,2,73,2,0
1,H3,ARQ,3,H,H,HH,9.27E+04,HIGH,1,0,21,55
1,H3,ARQ,3,H,H,HH,9.27E+04,HIGH,3,3,38,34
1,H3,ARQ,3,H,H,HH,9.27E+04,HIGH,2,19,6,59
1,H3,ARQ,3,H,H,HH,9.27E+03,MID,2,42,21,15
1,H3,ARQ,3,H,H,HH,9.27E+03,MID,1,47,11,17
1,H3,ARQ,3,H,H,HH,9.27E+03,MID,3,53,12,10
1,H3,ARQ,3,H,H,HH,9.27E+02,LOW,2,70,3,2
1,H3,ARQ,3,H,H,HH,9.27E+02,LOW,1,71,4,1
1,H3,ARQ,3,H,H,HH,9.27E+02,LOW,3,72,3,1
2,H4,ARQ,1,H,L,HL,1.25E+05,HIGH,2,0,22,80
2,H4,ARQ,1,H,L,HL,1.25E+05,HIGH,3,0,13,62
2,H4,ARQ,1,H,H,HH,1.03E+05,HIGH,2,1,20,55
2,H4,ARQ,1,H,L,HL,1.25E+05,HIGH,1,1,24,50
2,H4,ARQ,1,H,H,HH,1.03E+05,HIGH,3,2,21,52
2,H4,ARQ,1,H,H,HH,1.03E+04,MID,2,29,33,13
2,H4,ARQ,1,H,L,HL,1.25E+04,MID,1,35,30,18
2,H4,ARQ,1,H,L,HL,1.25E+04,MID,2,32,30,13
2,H4,ARQ,1,H,L,HL,1.25E+04,MID,2,43,24,10
2,H4,ARQ,1,H,H,HH,1.03E+04,MID,1,42,31,2
2,H4,ARQ,1,H,H,HH,1.03E+04,MID,3,45,26,4
2,H4,ARQ,1,H,L,HL,1.25E+03,LOW,3,70,8,1
2,H4,ARQ,1,H,L,HL,1.25E+03,LOW,1,77,8,1
2,H4,ARQ,1,H,H,HH,1.03E+03,LOW,1,76,7,0
2,H4,ARQ,1,H,H,HH,1.03E+03,LOW,2,70,4,1
2,H4,ARQ,1,H,L,HL,1.25E+03,LOW,2,77,2,0
2,H4,ARQ,1,H,H,HH,1.03E+03,LOW,3,74,1,0
2,H5,ARQ,2,H,H,HH,1.69E+05,HIGH,3,0,22,56
2,H5,ARQ,2,H,H,HH,1.69E+05,HIGH,1,1,29,45
2,H5,ARQ,2,H,H,HH,1.69E+05,HIGH,2,1,34,40
2,H5,ARQ,2,H,L,HL,1.77E+05,HIGH,2,2,16,57
2,H5,ARQ,2,H,L,HL,1.77E+05,HIGH,3,4,24,47
2,H5,ARQ,2,H,L,HL,1.77E+04,MID,1,38,31,14
2,H5,ARQ,2,H,H,HH,1.69E+04,MID,1,52,41,15
2,H5,ARQ,2,H,L,HL,1.77E+04,MID,2,49,37,11
2,H5,ARQ,2,H,H,HH,1.69E+04,MID,2,40,27,9
2,H5,ARQ,2,H,H,HH,1.69E+04,MID,3,47,23,0
2,H5,ARQ,2,H,L,HL,1.77E+03,LOW,1,69,5,1
2,H5,ARQ,2,H,H,HH,1.69E+03,LOW,1,70,5,0
2,H5,ARQ,2,H,H,HH,1.69E+03,LOW,2,79,5,0
2,H5,ARQ,2,H,L,HL,1.77E+03,LOW,3,71,3,1
2,H5,ARQ,2,H,H,HH,1.69E+03,LOW,3,72,3,0
2,H5,ARQ,2,H,L,HL,1.77E+03,LOW,2,76,2,1
2,H6,MKO,3,H,L,HL,1.59E+05,HIGH,3,0,8,64
2,H6,MKO,3,H,H,HH,1.07E+05,HIGH,2,0,41,36
2,H6,MKO,3,H,L,HL,1.59E+05,HIGH,1,2,29,47
2,H6,MKO,3,H,H,HH,1.07E+05,HIGH,1,2,23,53
2,H6,MKO,3,H,L,HL,1.59E+05,HIGH,2,2,46,27
2,H6,MKO,3,H,H,HH,1.07E+05,HIGH,3,2,30,43
2,H6,MKO,3,H,H,HH,1.07E+04,MID,3,30,40,5
2,H6,MKO,3,H,L,HL,1.59E+04,MID,3,33,33,9
2,H6,MKO,3,H,H,HH,1.07E+04,MID,2,30,30,8
2,H6,MKO,3,H,H,HH,1.07E+04,MID,1,34,30,12
2,H6,MKO,3,H,L,HL,1.59E+04,MID,1,42,25,8
2,H6,MKO,3,H,L,HL,1.59E+04,MID,2,45,27,4
2,H6,MKO,3,H,H,HH,1.07E+03,LOW,2,67,5,3
2,H6,MKO,3,H,L,HL,1.59E+03,LOW,3,69,5,1
2,H6,MKO,3,H,H,HH,1.07E+03,LOW,3,73,1,4
2,H6,MKO,3,H,L,HL,1.59E+03,LOW,2,75,4,0
2,H6,MKO,3,H,L,HL,1.59E+03,LOW,1,84,3,1
2,H6,MKO,3,H,H,HH,1.07E+03,LOW,1,72,3,0
3,H7,ARQ,1,H,H,HH,1.23E+05,HIGH,1,0,20,56
3,H7,ARQ,1,H,H,HH,1.23E+05,HIGH,2,0,28,47
3,H7,ARQ,1,H,H,HH,1.23E+05,HIGH,3,0,23,52
3,H7,ARQ,1,H,L,HL,9.79E+04,HIGH,1,1,13,69
3,H7,ARQ,1,H,L,HL,9.79E+04,HIGH,2,1,26,51
3,H7,ARQ,1,H,L,HL,9.79E+04,HIGH,3,9,22,44
3,H7,ARQ,1,H,H,HH,1.23E+04,MID,1,38,50,10
3,H7,ARQ,1,H,H,HH,1.23E+04,MID,2,34,29,12
3,H7,ARQ,1,H,L,HL,9.79E+03,MID,3,40,23,13
3,H7,ARQ,1,H,H,HH,1.23E+04,MID,3,56,32,16
3,H7,ARQ,1,H,L,HL,9.79E+03,MID,1,42,29,7
3,H7,ARQ,1,H,L,HL,9.79E+03,MID,2,49,33,2
3,H7,ARQ,1,H,H,HH,1.23E+03,LOW,2,65,8,2
3,H7,ARQ,1,H,H,HH,1.23E+03,LOW,3,69,6,0
3,H7,ARQ,1,H,L,HL,9.79E+02,LOW,3,72,3,2
3,H7,ARQ,1,H,H,HH,1.23E+03,LOW,1,84,4,1
3,H7,ARQ,1,H,L,HL,9.79E+02,LOW,1,71,4,0
3,H7,ARQ,1,H,L,HL,9.79E+02,LOW,2,71,4,0
3,H8,MKO,2,H,H,HH,1.49E+05,HIGH,2,0,29,50
3,H8,MKO,2,H,L,HL,1.99E+05,HIGH,2,1,39,40
3,H8,MKO,2,H,H,HH,1.49E+05,HIGH,1,1,25,49
3,H8,MKO,2,H,H,HH,1.49E+05,HIGH,3,1,26,48
3,H8,MKO,2,H,L,HL,1.99E+05,HIGH,1,1,25,46
3,H8,MKO,2,H,L,HL,1.99E+05,HIGH,3,2,31,43
3,H8,MKO,2,H,H,HH,1.49E+04,MID,1,27,30,18
3,H8,MKO,2,H,H,HH,1.49E+04,MID,2,27,37,11
3,H8,MKO,2,H,L,HL,1.99E+04,MID,2,40,22,13
3,H8,MKO,2,H,H,HH,1.49E+04,MID,3,44,23,8
3,H8,MKO,2,H,L,HL,1.99E+04,MID,1,48,20,2
3,H8,MKO,2,H,L,HL,1.99E+04,MID,3,54,15,6
3,H8,MKO,2,H,H,HH,1.49E+03,LOW,2,75,6,1
3,H8,MKO,2,H,H,HH,1.49E+03,LOW,3,75,6,1
3,H8,MKO,2,H,L,HL,1.99E+03,LOW,1,70,5,0
3,H8,MKO,2,H,L,HL,1.99E+03,LOW,3,97,3,0
3,H8,MKO,2,H,H,HH,1.49E+03,LOW,1,74,1,0
3,H8,MKO,2,H,L,HL,1.99E+03,LOW,2,75,0,0
3,H9,ARQ,3,H,L,HL,1.10E+05,HIGH,2,0,33,42
3,H9,ARQ,3,H,L,HL,1.10E+05,HIGH,3,0,21,54
3,H9,ARQ,3,H,H,HH,1.64E+05,HIGH,1,1,44,41
3,H9,ARQ,3,H,L,HL,1.10E+05,HIGH,2,1,33,46
3,H9,ARQ,3,H,H,HH,1.64E+05,HIGH,2,3,38,34
3,H9,ARQ,3,H,H,HH,1.64E+05,HIGH,3,6,37,32
3,H9,ARQ,3,H,L,HL,1.10E+04,MID,1,50,23,3
3,H9,ARQ,3,H,L,HL,1.10E+04,MID,3,66,28,4
3,H9,ARQ,3,H,L,HL,1.10E+04,MID,2,52,20,5
3,H9,ARQ,3,H,H,HH,1.64E+04,MID,3,63,21,3
3,H9,ARQ,3,H,H,HH,1.64E+04,MID,2,55,18,2
3,H9,ARQ,3,H,H,HH,1.64E+04,MID,1,59,15,4
3,H9,ARQ,3,H,L,HL,1.10E+03,LOW,1,71,3,7
3,H9,ARQ,3,H,L,HL,1.10E+03,LOW,3,68,5,2
3,H9,ARQ,3,H,H,HH,1.64E+03,LOW,2,73,4,0
3,H9,ARQ,3,H,L,HL,1.10E+03,LOW,2,73,2,0
3,H9,ARQ,3,H,H,HH,1.64E+03,LOW,3,75,2,0
3,H9,ARQ,3,H,H,HH,1.64E+03,LOW,1,77,1,0
1,L1,MKO,4,L,H,LH,1.65E+05,HIGH,1,0,14,62
1,L1,MKO,4,L,H,LH,1.65E+05,HIGH,2,0,7,68
1,L1,MKO,4,L,H,LH,1.65E+05,HIGH,3,0,22,67
1,L1,MKO,4,L,L,LL,1.06E+05,HIGH,3,0,23,52
1,L1,MKO,4,L,L,LL,1.06E+05,HIGH,1,1,29,56
1,L1,MKO,4,L,L,LL,1.06E+05,HIGH,2,1,25,57
1,L1,MKO,4,L,H,LH,1.65E+04,MID,2,27,26,23
1,L1,MKO,4,L,L,LL,1.06E+04,MID,3,33,30,14
1,L1,MKO,4,L,H,LH,1.65E+04,MID,3,34,35,9
1,L1,MKO,4,L,L,LL,1.06E+04,MID,2,41,20,29
1,L1,MKO,4,L,H,LH,1.65E+04,MID,1,42,26,9
1,L1,MKO,4,L,H,LH,1.65E+03,LOW,2,61,6,8
1,L1,MKO,4,L,H,LH,1.65E+03,LOW,1,76,11,1
1,L1,MKO,4,L,L,LL,1.06E+03,LOW,3,69,8,2
1,L1,MKO,4,L,H,LH,1.65E+03,LOW,3,74,5,2
1,L1,MKO,4,L,L,LL,1.06E+03,LOW,1,83,6,1
1,L1,MKO,4,L,L,LL,1.06E+03,LOW,2,74,3,0
1,L2,MKO,5,L,H,LH,2.52E+05,HIGH,1,0,28,48
1,L2,MKO,5,L,H,LH,2.52E+05,HIGH,3,0,13,64
1,L2,MKO,5,L,L,LL,1.82E+05,HIGH,2,0,11,66
1,L2,MKO,5,L,L,LL,1.82E+05,HIGH,3,1,25,50
1,L2,MKO,5,L,H,LH,2.52E+05,HIGH,2,1,20,54
1,L2,MKO,5,L,L,LL,1.82E+05,HIGH,1,3,15,57
1,L2,MKO,5,L,L,LL,1.82E+04,MID,1,26,25,24
1,L2,MKO,5,L,L,LL,1.82E+04,MID,2,33,18,26
1,L2,MKO,5,L,H,LH,2.52E+04,MID,2,34,35,7
1,L2,MKO,5,L,L,LL,1.82E+04,MID,3,40,28,18
1,L2,MKO,5,L,H,LH,2.52E+04,MID,3,32,33,2
1,L2,MKO,5,L,H,LH,2.52E+04,MID,2,45,25,22
1,L2,MKO,5,L,L,LL,1.82E+03,LOW,2,64,9,2
1,L2,MKO,5,L,L,LL,1.82E+03,LOW,1,75,4,6
1,L2,MKO,5,L,L,LL,1.82E+03,LOW,3,68,7,0
1,L2,MKO,5,L,H,LH,2.52E+03,LOW,2,72,3,3
1,L2,MKO,5,L,H,LH,2.52E+03,LOW,3,70,5,0
1,L2,MKO,5,L,H,LH,2.52E+03,LOW,1,75,5,0
1,L3,ARQ,6,L,H,LH,1.35E+05,HIGH,2,0,17,58
1,L3,ARQ,6,L,L,LL,1.26E+05,HIGH,3,0,9,73
1,L3,ARQ,6,L,L,LL,1.26E+05,HIGH,1,1,21,61
1,L3,ARQ,6,L,H,LH,1.35E+05,HIGH,3,1,14,65
1,L3,ARQ,6,L,L,LL,1.26E+05,HIGH,2,3,1,71
1,L3,ARQ,6,L,H,LH,1.35E+05,HIGH,1,20,2,55
1,L3,ARQ,6,L,H,LH,1.35E+04,MID,2,32,19,39
1,L3,ARQ,6,L,H,LH,1.35E+04,MID,3,33,27,19
1,L3,ARQ,6,L,L,LL,1.26E+04,MID,1,41,30,11
1,L3,ARQ,6,L,L,LL,1.26E+04,MID,2,38,29,8
1,L3,ARQ,6,L,H,LH,1.35E+04,MID,1,39,19,17
1,L3,ARQ,6,L,L,LL,1.26E+03,LOW,2,45,16,14
1,L3,ARQ,6,L,H,LH,1.35E+03,LOW,3,74,9,2
1,L3,ARQ,6,L,H,LH,1.35E+03,LOW,2,71,2,4
1,L3,ARQ,6,L,H,LH,1.35E+03,LOW,3,97,6,0
1,L3,ARQ,6,L,L,LL,1.26E+03,LOW,1,74,2,2
1,L3,ARQ,6,L,L,LL,1.26E+04,MID,3,73,2,0
1,L3,ARQ,6,L,L,LL,1.26E+03,LOW,3,74,1,0
2,L4,ARQ,4,L,L,LL,1.11E+05,HIGH,1,0,32,43
2,L4,ARQ,4,L,L,LL,1.11E+05,HIGH,2,0,32,43
2,L4,ARQ,4,L,L,LL,1.11E+05,HIGH,3,0,34,43
2,L4,ARQ,4,L,H,LH,1.79E+05,HIGH,2,1,40,34
2,L4,ARQ,4,L,H,LH,1.79E+05,HIGH,3,1,46,28
2,L4,ARQ,4,L,L,LL,1.11E+04,MID,1,27,43,5
2,L4,ARQ,4,L,L,LL,1.11E+04,MID,3,17,17,5
2,L4,ARQ,4,L,H,LH,1.79E+04,MID,1,35,35,6
2,L4,ARQ,4,L,L,LL,1.11E+04,MID,2,36,37,4
2,L4,ARQ,4,L,H,LH,1.79E+04,MID,2,37,31,7
2,L4,ARQ,4,L,H,LH,1.79E+04,MID,3,43,31,2
2,L4,ARQ,4,L,L,LL,1.11E+03,LOW,3,64,10,1
2,L4,ARQ,4,L,H,LH,1.79E+03,LOW,1,68,7,0
2,L4,ARQ,4,L,L,LL,1.11E+03,LOW,1,73,6,0
2,L4,ARQ,4,L,H,LH,1.79E+03,LOW,3,70,4,1
2,L4,ARQ,4,L,L,LL,1.11E+03,LOW,2,71,3,1
2,L4,ARQ,4,L,H,LH,1.79E+03,LOW,2,74,2,1
2,L5,MKO,5,L,H,LH,1.61E+05,HIGH,3,0,21,55
2,L5,MKO,5,L,L,LL,1.16E+05,HIGH,1,0,4,50
2,L5,MKO,5,L,L,LL,1.16E+05,HIGH,3,0,28,47
2,L5,MKO,5,L,H,LH,1.61E+05,HIGH,1,1,24,70
2,L5,MKO,5,L,H,LH,1.61E+05,HIGH,2,1,12,66
2,L5,MKO,5,L,L,LL,1.16E+05,HIGH,2,1,21,54
2,L5,MKO,5,L,H,LH,1.61E+04,MID,1,15,45,15
2,L5,MKO,5,L,H,LH,1.61E+04,MID,3,20,42,23
2,L5,MKO,5,L,L,LL,1.16E+04,MID,1,28,39,8
2,L5,MKO,5,L,H,LH,1.61E+04,MID,2,31,37,7
2,L5,MKO,5,L,L,LL,1.16E+04,MID,2,46,30,14
2,L5,MKO,5,L,H,LH,1.61E+03,LOW,1,64,9,2
2,L5,MKO,5,L,L,LL,1.16E+03,LOW,1,67,8,0
2,L5,MKO,5,L,L,LL,1.16E+03,LOW,2,77,5,1
2,L5,MKO,5,L,L,LL,1.16E+03,LOW,3,82,6,0
2,L5,MKO,5,L,H,LH,1.61E+03,LOW,3,73,5,0
2,L5,MKO,5,L,H,LH,1.61E+03,LOW,2,78,0,0
2,L6,MKO,6,L,L,LL,1.06E+05,HIGH,1,0,13,62
2,L6,MKO,6,L,L,LL,1.06E+05,HIGH,2,0,23,53
2,L6,MKO,6,L,L,LL,1.06E+05,HIGH,3,0,21,62
2,L6,MKO,6,L,H,LH,1.01E+05,HIGH,1,0,18,57
2,L6,MKO,6,L,H,LH,1.01E+05,HIGH,3,1,28,57
2,L6,MKO,6,L,H,LH,1.01E+05,HIGH,2,4,18,55
2,L6,MKO,6,L,H,LH,1.01E+04,MID,1,27,43,7
2,L6,MKO,6,L,L,LL,1.06E+04,MID,1,28,23,25
2,L6,MKO,6,L,H,LH,1.01E+04,MID,2,29,19,29
2,L6,MKO,6,L,L,LL,1.06E+04,MID,3,29,37,9
2,L6,MKO,6,L,L,LL,1.06E+04,MID,2,48,47,7
2,L6,MKO,6,L,H,LH,1.01E+04,MID,3,49,34,8
2,L6,MKO,6,L,L,LL,1.06E+03,LOW,2,66,14,2
2,L6,MKO,6,L,H,LH,1.01E+03,LOW,2,34,5,0
2,L6,MKO,6,L,H,LH,1.01E+03,LOW,3,66,9,0
2,L6,MKO,6,L,L,LL,1.06E+03,LOW,3,68,7,0
2,L6,MKO,6,L,L,LL,1.06E+03,LOW,1,70,6,0
2,L6,MKO,6,L,H,LH,1.01E+03,LOW,1,71,3,1
3,L7,ARQ,4,L,L,LL,1.80E+05,HIGH,1,2,32,45
3,L7,ARQ,4,L,L,LL,1.80E+05,HIGH,2,4,40,39
3,L7,ARQ,4,L,L,LL,1.80E+05,HIGH,3,5,26,44
3,L7,ARQ,4,L,H,LH,1.19E+05,HIGH,1,7,29,41
3,L7,ARQ,4,L,H,LH,1.19E+05,HIGH,2,7,27,41
3,L7,ARQ,4,L,H,LH,1.19E+05,HIGH,3,8,31,40
3,L7,ARQ,4,L,L,LL,1.80E+04,MID,1,52,25,3
3,L7,ARQ,4,L,H,LH,1.19E+04,MID,1,54,19,2
3,L7,ARQ,4,L,L,LL,1.80E+04,MID,2,65,20,1
3,L7,ARQ,4,L,H,LH,1.19E+04,MID,2,63,17,0
3,L7,ARQ,4,L,H,LH,1.19E+04,MID,3,63,14,2
3,L7,ARQ,4,L,L,LL,1.80E+04,MID,3,80,17,1
3,L7,ARQ,4,L,L,LL,1.80E+03,LOW,1,89,1,7
3,L7,ARQ,4,L,L,LL,1.80E+03,LOW,2,72,2,0
3,L7,ARQ,4,L,L,LL,1.80E+03,LOW,3,73,1,1
3,L7,ARQ,4,L,H,LH,1.19E+03,LOW,3,86,2,0
3,L7,ARQ,4,L,H,LH,1.19E+03,LOW,1,77,1,0
3,L7,ARQ,4,L,H,LH,1.19E+03,LOW,2,81,1,0
3,L8,ARQ,5,L,L,LL,1.80E+05,HIGH,1,0,31,44
3,L8,ARQ,5,L,L,LL,1.80E+05,HIGH,2,0,29,46
3,L8,ARQ,5,L,H,LH,1.70E+05,HIGH,1,0,15,77
3,L8,ARQ,5,L,H,LH,1.70E+05,HIGH,3,0,23,52
3,L8,ARQ,5,L,L,LL,1.80E+05,HIGH,3,1,34,40
3,L8,ARQ,5,L,H,LH,1.70E+05,HIGH,2,2,26,48
3,L8,ARQ,5,L,L,LL,1.80E+04,MID,3,25,46,6
3,L8,ARQ,5,L,L,LL,1.80E+04,MID,2,26,39,10
3,L8,ARQ,5,L,L,LL,1.80E+04,MID,1,43,61,11
3,L8,ARQ,5,L,H,LH,1.70E+04,MID,2,32,37,13
3,L8,ARQ,5,L,H,LH,1.70E+04,MID,3,30,39,6
3,L8,ARQ,5,L,H,LH,1.70E+04,MID,1,31,41,4
3,L8,ARQ,5,L,L,LL,1.80E+03,LOW,1,84,18,0
3,L8,ARQ,5,L,H,LH,1.70E+03,LOW,3,66,9,0
3,L8,ARQ,5,L,H,LH,1.70E+03,LOW,1,68,9,0
3,L8,ARQ,5,L,L,LL,1.80E+03,LOW,2,69,6,1
3,L8,ARQ,5,L,H,LH,1.70E+03,LOW,2,68,5,1
3,L8,ARQ,5,L,L,LL,1.80E+03,LOW,3,118,10,0
3,L9,ARQ,6,L,L,LL,1.07E+05,HIGH,1,0,13,62
3,L9,ARQ,6,L,L,LL,1.07E+05,HIGH,2,0,24,81
3,L9,ARQ,6,L,L,LL,1.07E+05,HIGH,3,0,38,41
3,L9,ARQ,6,L,H,LH,1.00E+05,HIGH,1,0,22,53
3,L9,ARQ,6,L,H,LH,1.00E+05,HIGH,2,1,25,45
3,L9,ARQ,6,L,H,LH,1.00E+05,HIGH,3,2,23,50
3,L9,ARQ,6,L,L,LL,1.07E+04,MID,2,17,49,10
3,L9,ARQ,6,L,H,LH,1.00E+04,MID,2,23,43,10
3,L9,ARQ,6,L,L,LL,1.07E+04,MID,1,27,37,11
3,L9,ARQ,6,L,H,LH,1.00E+04,MID,1,39,38,15
3,L9,ARQ,6,L,L,LL,1.07E+04,MID,3,33,38,4
3,L9,ARQ,6,L,H,LH,1.00E+04,MID,3,43,39,14
3,L9,ARQ,6,L,L,LL,1.07E+03,LOW,3,75,15,2
3,L9,ARQ,6,L,H,LH,1.00E+03,LOW,2,64,10,2
3,L9,ARQ,6,L,H,LH,1.00E+03,LOW,1,75,9,0
3,L9,ARQ,6,L,H,LH,1.00E+03,LOW,3,68,7,0
3,L9,ARQ,6,L,L,LL,1.07E+03,LOW,2,93,4,2
3,L9,ARQ,6,L,L,LL,1.07E+03,LOW,1,111,1,0